name,quadrant,ring,isNew,description
TypeScript,Languages & Frameworks,Adopt,FALSE,
React Native,Languages & Frameworks,Adopt,FALSE,
Kotlin,Languages & Frameworks,Adopt,FALSE,
Swift,Languages & Frameworks,Adopt,FALSE,
axios,Languages & Frameworks,Adopt,FALSE,
Socket.IO,Languages & Frameworks,Adopt,FALSE,
Redux Toolkit,Languages & Frameworks,Adopt,FALSE,
Redux Persist,Languages & Frameworks,Adopt,FALSE,
React Navigation,Languages & Frameworks,Adopt,FALSE,
React Hook Form,Languages & Frameworks,Adopt,FALSE,
Jest,Languages & Frameworks,Adopt,FALSE,
Detox,Languages & Frameworks,Adopt,FALSE,
Day.js,Languages & Frameworks,Adopt,FALSE,
i18n,Languages & Frameworks,Adopt,FALSE,
mobydick,Languages & Frameworks,Adopt,FALSE,
Janus WebRTC,Languages & Frameworks,Adopt,FALSE,
i18n,Languages & Frameworks,Adopt,FALSE,
Firebase,Languages & Frameworks,Adopt,FALSE,
Animated API,Languages & Frameworks,Trial,FALSE,
RTK Query,Languages & Frameworks,Trial,FALSE,
Maestro,Languages & Frameworks,Trial,FALSE,
Reanimated,Languages & Frameworks,Assess,FALSE,
React Native Viro,Languages & Frameworks,Assess,FALSE,
JavaScript,Languages & Frameworks,Hold,FALSE,
Java,Languages & Frameworks,Hold,FALSE,
Objective-C,Languages & Frameworks,Hold,FALSE,
Redux Saga,Languages & Frameworks,Hold,FALSE,
Redux Thunk,Languages & Frameworks,Hold,FALSE,
Moment,Languages & Frameworks,Hold,FALSE,
Realm JS,Languages & Frameworks,Hold,FALSE,
Watermelon DB,Languages & Frameworks,Hold,FALSE,
Acync Storage,Languages & Frameworks,Hold,FALSE,
GitLab,Platforms,Adopt,FALSE,
Sentry,Platforms,Adopt,FALSE,
Sonar,Platforms,Adopt,FALSE,
Git,Tools,Adopt,FALSE,
Yarn,Tools,Adopt,FALSE,
Eslint,Tools,Adopt,FALSE,
Semantic release,Tools,Adopt,FALSE,
rnk-toolkit,Tools,Trial,FALSE,
bun,Tools,Assess,FALSE,
npm,Tools,Hold,FALSE,
FSD,Techniques,Adopt,FALSE,
REST API,Techniques,Adopt,FALSE,
CI,Techniques,Adopt,FALSE,
CD,Techniques,Adopt,FALSE,
GitFlow,Techniques,Adopt,FALSE,
Conventional commit,Techniques,Adopt,FALSE,
React Hooks,Techniques,Adopt,FALSE,
GraphQL,Techniques,Assess,FALSE,
React Classes,Techniques,Hold,FALSE,
